ARTS_ARTICULO,ARTS_NOMBRE,ARTS_ARTICULO_EMP,PONDERADO,ARTS_ARTICULO_IMP,ARTS_TIPO_ART,ARTS_DESCRIPCION,ARTS_CLASIF_1,ARTS_CLASIF_2,ARTS_CLASIF_3,ARTS_CLASIF_4,ARTS_CLASIF_5,ARTS_CLASIF_6,ARTS_CLASIF_7,ARTS_CLASIF_8,ARTS_CLASIF_9,ARTS_CLASIF_10,ARTS_CLASIF_11,ARTS_CLASIF_12,ARTS_CLASIF_13,ARTS_CLASIF_14,ARTS_CLASIF_15,ARTS_CLASIF_16,ARTS_UNIMED_STOCK,ARTS_CODBAR_STOCK,ARTS_CONTROL_STOCK,ARTS_AJUS_CANT_UMS,ARTS_PORCMAX_AJUMS,ARTS_CON_PARTIDAS,ARTS_NROS_SERIE,ARTS_CON_TALLES,ARTS_TALLE,ARTS_COLOR,ARTS_SE_VENDE,ARTS_SE_COMPRA,ARTS_FECHA_ALTA,ARTS_FECHA_BAJA,ARTS_BLOQUEO_MOST,ARTS_VOLUMEN_EMB_UMS,ARTS_PESO_EMB_UMS,ARTS_CANT_BULT_UMS,ARTS_UNIMED_HOMSTO,ARTS_FACTOR_HOMSTO,ARTS_CUENTA,ARTS_SE_PRODUCE,ARTS_CONSUMO_COM,ARTS_MODO_STOC_MIN,ARTS_STOCK_MINIMO,ARTS_GENERA_MOVSTK,ARTS_CLASIF_UM_ART,ARTS_PORC_DMAXCAOF,ARTS_HABIL_PPP,ARTS_COSTEO_CIEMES,ARTS_DIVI_ASI_CM,ARTS_ESPECIE_GRANO,ARTS_TIPO_GRANO,ARTS_VARIEDAD_GRANO,ARTS_CUENTA_ANTICIPO_LIQ,ARTS_CODIGO_PROD_COT,ARTS_CODIGO_UM_COT,ARTS_FACTOR_UM_COT,ARTS_UNIMED_DIM,ARTS_LARGO_DIM,ARTS_ANCHO_DIM,ARTS_ALTO_DIM,ARTS_DIAS_EXIS_ANTES_USO,ARTS_UMS_ES_UCMI,ARTS_UM_UCMI,ARTS_FACTOR_UM_UCMI,ARTS_CODBAR_UCMI,ARTS_DESCRIPCION_WS_AFIP,ARTS_DPOS_CONSUMO_COMP,ARTS_CLASIF_1_CAD1,ARTS_CLASIF_2_CAD2,ARTS_CLASIF_3_CAD3,ARTS_CLASIF_4_CAD4,ARTS_OPERA_CODBAR_PARTIDAS,ARTS_ASIGNA_AUTO_CODBAR_PARTIDAS,ARTS_APLICA_CTRL_CODBAR_PARTIDAS,ARTS_HABIL_MULTINODO,ARTS_NUEVAS_PART_BLOQUAR_AUT,ARTS_UTILIZA_CODIGO_BARRA,ARTS_CAUSA_BLOQ_PART_AUT,ARTS_REQ_ANAL_LAB_PARA_INGRESO,ARTS_REQ_IDENT_DEPOSITO_INGR_OTL,ARTS_STOCK_MAXIMO,ARTS_EXIGE_VENCIM_PARTIDAS,ARTS_EXIGE_NUMERO_SERIE_PART
3265,KIT DISTRI K025581XS Citroen Berlingo-C3-C4-Xsara 1.6 16V Motor TU5,K99134X25.4XS-B,1.1789779638909743,K99134X25.4XS-B,COM,KIT DISTRI K025581XS Citroen Berlingo-C3-C4-Xsara 1.6 16V Motor TU5 LUCAS-LKTBN417  (( GV446B )),2,2,3,1,0,3,0,,,,,,,,,,UN,K025581XS,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,848280,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
3827,VOLANTE BIMASA VW AMAROK 2.0TDI (6 agujeros),415054910,1.134081128350804,415054910,COM,LUK Motor: CDBA CNEA CSHA Num Orig: 03L 105 266 AG,3,1,7,1,0,3,0,,,,,,,,,,UN,415054910,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
4062,KIT EMBRAGUE PDR VW Gol Trend FOX POLO SAVEIRO AUDI A3 EX 620303400,620312700,1.0034477655564296,620312700,COM,aplicaciones : VW GOL TREND - FOX -SURAN -GOLF - SAVEIRO- EX 620303400 VALEO 228224 SACHS 3000000782 phc: VWK-113 EQUIVALENTE AL LUK 619315600 _x000D_,3,1,1,1,0,3,0,,,,,,,,,,UN,620312700,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
6382,LIQUIDO REFRIGERANTE ORGANICO ROJO X1L,RF003,0.9359270324989152,RF003,COM,LIQUIDO REFRIGERANTE ORGANICO X1L _x000D_,55,4,150,1,0,1,0,,,,,,,,,,UN,RF003,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,848350,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
4056,KIT EMBRAGUE PDR Fiat Qubo 1.4/Peugeot 207/307 /Citroen C3/C4 -1.6 16v,620308600,0.8494558160860534,620308600,COM,VALEO 826213 / 228315 VALEO PHC: PGK-003N SACHS 3000000811 SECO: S31620018 K00420018PSA16SO,53,1,1,1,0,1,0,,,,,,,,,,UN,620308600,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
20997,KIT EMBRAGUE PDR PEUGEOT/CITROEN- Mod. 206/ C3 1.6 16V - 1.4 8V 200X18,PGK-003N,0.844345877974764,PGK-003N,COM,KIT EMBRAGUE PGK003N PDR PEUGEOT/CITROEN 206/ C3 1.6 16V - 1.4 8V 200X18 VALEO 826213 / 228315 SACHS 3000000811 LUK 620308600 SECO: S31620018 K00420018PSA16SO,88,1,1,1,0,1,0,,,,,,,,,,UN,PGK-003N,1,0,0,0,0,0,,,1,1,2020-01-06 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
4010,KIT EMBRAGUE PDR FIAT PALIO IDEA PUNTO STRADA 1.3L 1.4L 16V M FIRE,619301500,0.8392335996788903,619301500,COM, VALEO : 828102 SACHS : 3000000144 (6586) FIAT : 7088930,3,1,1,1,0,1,0,,,,,,,,,,UN,619301500,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
17036,KIT EMBRAGUE 6081 PDR CITROEN/PEUGEOT C3/C4/207/307 200X18,3000000811,0.8273742680845808,3000000811,COM,VALEO 826213 / 228315 (CRAPO CHICA) LUK 620308600 VALEO PHC PGK-003N SECO: S31620018 K00420018PSA16SO,26,1,1,1,0,1,0,,,,,,,,,,UN,3000000811,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
17776,KIT DISTRI + BBA AGUA CITROEN-PEUGEOT 2007 + 1.6 16V TU5JP4,GV446B,0.8025713654661242,GV446B,COM,BA446 + K99134X25.4XS-B KIT DISTRI + BBA AGUA CITROEN-PEUGEOT 2007 + 1.6 16V TU5JP4  KP99134X25.4XSB - IV446B  _x000D_,30,2,166,1,0,2,0,,,,,,,,,,UN,GV446B,1,0,0,0,0,0,,,1,1,2018-01-17 00:00:00,,0,0,0,0,UN,1,110600001,1,1,1,0,1,,0,0,0,,,,,,841330,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
4328,CONJUNTO EMBRAGUE PD VW AMAROK 2.0 TDI/BITDI (122/163/180CV),624347409,0.7594237524782503,624347409,COM,EQUIVALENCIAS:SACHS 3000920006 APLICACIONES: VW AMAROK 2.0 TDI/BITDI (122/163/180CV) Motor: CDBA CNEA CSHA Num. Orig.: 03L 141 015 M,53,1,198,1,0,3,0,,,,,,,,,,UN,624347409,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
3837,VOLANTE BIMASA MB BENZ SPRINTER 415/515 2.1 CDI OM651 ex-415055510,415066010,0.694235473150487,415066010,COM,equivalencia sachs : 2294000994,53,1,7,1,0,2,0,,,,,,,,,,UN,415066010,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
15837,LIQUIDO DE FRENOS DOT4 500ML VARGA,RCLF00450,0.6914398541778903,RCLF00450,COM,LIQUIDO DE FRENOS DOT4 500ML VARGA,72,7,46,1,0,4,0,,,,,,,,,,UN,RCLF00450,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,871494,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
3159,KIT DISTRI K015671XS CLIO2/MEGANE/SCENIC K4M,K132X27.4XS-A,0.69086144673445,K132X27.4XS-A,COM,KIT DISTRI K015671XS Clio2/Megane/Scenic K4M NUEVA GENERACION ina 530073710 LUCAS-LKTBN271  (( GV434 con bomba )),2,2,3,1,0,1,0,,,,,,,,,,UN,K015671XS,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,848280,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
15836,LIQUIDO DE FRENOS DOT3 500ML VARGA,RCLF00440,0.6633578918378995,RCLF00440,COM,LIQUIDO DE FRENOS DOT3 500ML VARGA,72,7,46,1,0,4,0,,,,,,,,,,UN,RCLF00440,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,871494,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
73,KIT EMBRAGUE PDR EX 826213 CITROEN/PEUGEOT 200X18,228315,0.6131870293830315,228315,COM,LUK 620308600/620308700 idem 826212 SACHS 3000000811 EX 826213 VALEO PHC: PGK-003N SECO: S31620018 K00420018PSA16SO,1,1,1,1,1,1,0,,,,,,,,,,UN,826213,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,1,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
12927,KIT DISTRI Volkswagen Amarok-Passat 2.0Tdi (160x25xs),530055010,0.5203987549921866,530055010,COM,GATES-K025649XS / SKF-VKMA 01263  / LUCAS-LKTBN788 (( IV678 )),17,2,3,1,0,1,0,,,,,,,,,,UN,530055010,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,848280,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
17014,KIT EMBRAGUE PDR FIAT PALIO FIRE 190 X 20 (6586) (3586),3000000144,0.49300306560599544,3000000144,COM,EQUIVALENCIA LUK: 619301500 TARANTO EK270700-1SKF VALEO 828102 /PHC:FAK-001C ,26,1,1,1,0,1,0,,,,,,,,,,UN,3000000144,1,0,0,0,0,0,,,1,1,2017-07-14 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
