Segmento,Marca,Modelo,Versión,Año,error,processing_seconds
AUTOMÓVILES,LEXUS,RX,2.4 F-SPORT,,"Error HTTP inicial: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",10.0918
AUTOMÓVILES,LOTUS,EXIGE SPORT,3.5 350CV ROADSTER,2020,"Error HTTP inicial: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",10.0685
AUTOMÓVILES,LOTUS,EXIGE SPORT,3.5 350CV ROADSTER,2021,"Error HTTP inicial: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",10.0625
AUTOMÓVILES,MERCEDES BENZ,CLASE E,E300 3.0D,1993,HTTP 502 en consulta inicial,0.0764
AUTOMÓVILES,MERCEDES BENZ,CLASE E,E300 3.0D,1994,HTTP 502 en consulta inicial,1.9857
AUTOMÓVILES,MERCEDES BENZ,CLASE E,E300 3.0D,1996,Timeout global de extracción agotado (10s),10.8298
AUTOMÓVILES,MERCEDES BENZ,CLASE E,E300 3.0D,1997,Timeout global de extracción agotado (10s),11.0463
AUTOMÓVILES,MERCEDES BENZ,CLASE E,E300 3.0D,1998,Timeout global de extracción agotado (10s),10.9152
AUTOMÓVILES,MERCEDES BENZ,CLASE E,E300 3.0D,1999,Timeout global de extracción agotado (10s),12.5734
AUTOMÓVILES,MERCEDES BENZ,CLASE E,E300 3.0D,2000,Timeout global de extracción agotado (10s),10.1526
AUTOMÓVILES,MITSUBISHI,GALANT,,,Timeout global de extracción agotado (10s),16.3327
AUTOMÓVILES,MITSUBISHI,OUTLANDER,2.4,2005,Timeout global de extracción agotado (10s),10.6104
AUTOMÓVILES,NISSAN,MARCH,1.6 16V,2012,Timeout global de extracción agotado (10s),13.5116
AUTOMÓVILES,NISSAN,MARCH,1.6 16V,2014,"Error HTTP inicial: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",10.0579
AUTOMÓVILES,NISSAN,MARCH,1.6 16V,2015,Timeout global de extracción agotado (10s),12.4668
AUTOMÓVILES,NISSAN,TIIDA,1.8 16V,2007,Timeout global de extracción agotado (10s),12.2112
AUTOMÓVILES,PEUGEOT,106,1.4I,1995,Timeout global de extracción agotado (10s),12.7002
AUTOMÓVILES,PEUGEOT,205,1.4I,1993,Timeout global de extracción agotado (10s),13.3750
AUTOMÓVILES,PEUGEOT,205,1.4I,1996,Timeout global de extracción agotado (10s),13.7965
AUTOMÓVILES,PEUGEOT,206,1.4I,2001,Timeout global de extracción agotado (10s),12.3066
AUTOMÓVILES,PEUGEOT,206,1.4I,2002,Timeout global de extracción agotado (10s),10.2570
AUTOMÓVILES,PEUGEOT,206,1.6 16V,2002,Timeout global de extracción agotado (10s),13.4001
AUTOMÓVILES,PEUGEOT,206,1.6 8V,1999,Timeout global de extracción agotado (10s),12.4625
AUTOMÓVILES,PEUGEOT,206,1.6 8V,2000,Timeout global de extracción agotado (10s),10.1042
AUTOMÓVILES,PEUGEOT,206,1.9D,1999,Timeout global de extracción agotado (10s),12.2759
AUTOMÓVILES,PEUGEOT,206,2.0 16V,2001,Timeout global de extracción agotado (10s),14.1866
AUTOMÓVILES,PEUGEOT,206,2.0 16V,2002,Timeout global de extracción agotado (10s),11.1507
AUTOMÓVILES,PEUGEOT,206,2.0 GTI,2003,Timeout global de extracción agotado (10s),12.4104
AUTOMÓVILES,PEUGEOT,206,2.0 GTI 180 CV,2003,Timeout global de extracción agotado (10s),13.0800
AUTOMÓVILES,PEUGEOT,206,2.0 HDI,2000,Timeout global de extracción agotado (10s),12.7321
AUTOMÓVILES,PEUGEOT,206,2.0 RC,2005,Timeout global de extracción agotado (10s),12.2393
AUTOMÓVILES,PEUGEOT,207,1.4 HDI,2011,Timeout global de extracción agotado (10s),11.6312
AUTOMÓVILES,PEUGEOT,207,1.4 HDI,2012,Timeout global de extracción agotado (10s),10.8430
AUTOMÓVILES,PEUGEOT,207,1.4I,2008,Timeout global de extracción agotado (10s),11.9302
AUTOMÓVILES,PEUGEOT,207,1.6 16V,2008,Timeout global de extracción agotado (10s),11.7778
AUTOMÓVILES,PEUGEOT,207,1.6 16V,2009,Timeout global de extracción agotado (10s),10.2097
AUTOMÓVILES,PEUGEOT,207,1.6 THP 150CV,2008,Timeout global de extracción agotado (10s),13.8701
AUTOMÓVILES,PEUGEOT,207,1.6 THP 175CV,2009,Timeout global de extracción agotado (10s),13.5406
AUTOMÓVILES,PEUGEOT,207,1.9D,2008,Timeout global de extracción agotado (10s),12.5555
AUTOMÓVILES,PEUGEOT,207,1.9D,2009,Timeout global de extracción agotado (10s),10.7909
AUTOMÓVILES,PEUGEOT,207,1.9D,2010,Timeout global de extracción agotado (10s),12.1732
AUTOMÓVILES,PEUGEOT,207,1.9D,2011,Timeout global de extracción agotado (10s),10.7726
AUTOMÓVILES,PEUGEOT,207,2.0 HDI,2008,Timeout global de extracción agotado (10s),12.8238
AUTOMÓVILES,PEUGEOT,208,1.5I,2013,Timeout global de extracción agotado (10s),13.2357
AUTOMÓVILES,PEUGEOT,208,1.6 VTI,2013,Timeout global de extracción agotado (10s),12.5669
AUTOMÓVILES,PEUGEOT,301,1.6 HDI 92CV,2017,Timeout global de extracción agotado (10s),14.7345
AUTOMÓVILES,PEUGEOT,306,1.4I,1996,Timeout global de extracción agotado (10s),12.7895
AUTOMÓVILES,PEUGEOT,306,1.6,1995,Timeout global de extracción agotado (10s),12.5364
AUTOMÓVILES,PEUGEOT,306,1.8 16V,1997,Timeout global de extracción agotado (10s),12.6895
AUTOMÓVILES,PEUGEOT,306,1.8 16V,1998,Timeout global de extracción agotado (10s),15.4994
AUTOMÓVILES,PEUGEOT,306,1.8 8V,1998,Timeout global de extracción agotado (10s),12.9142
AUTOMÓVILES,PEUGEOT,306,1.9 TD,,Timeout global de extracción agotado (10s),12.1966
AUTOMÓVILES,PEUGEOT,306,1.9 XSD,1995,Timeout global de extracción agotado (10s),12.9776
AUTOMÓVILES,PEUGEOT,306,1.9 XSDT,1995,Timeout global de extracción agotado (10s),12.7253
AUTOMÓVILES,PEUGEOT,306,1.9D,1999,Timeout global de extracción agotado (10s),12.9289
AUTOMÓVILES,PEUGEOT,306,2.0,1995,Timeout global de extracción agotado (10s),12.6252
AUTOMÓVILES,PEUGEOT,306,2.0,1997,Timeout global de extracción agotado (10s),12.6740
AUTOMÓVILES,PEUGEOT,306,2.0 16V,1997,Timeout global de extracción agotado (10s),12.5230
AUTOMÓVILES,PEUGEOT,306,2.0 HDI,2000,Timeout global de extracción agotado (10s),13.4488
AUTOMÓVILES,PEUGEOT,306,2.0 HDI,2001,Timeout global de extracción agotado (10s),11.9429
AUTOMÓVILES,PEUGEOT,307,1.6 110CV,2001,Timeout global de extracción agotado (10s),13.0918
AUTOMÓVILES,PEUGEOT,307,1.6 110CV,2002,Timeout global de extracción agotado (10s),10.4528
AUTOMÓVILES,PEUGEOT,307,1.6 HDI,2005,Timeout global de extracción agotado (10s),13.4611
AUTOMÓVILES,PEUGEOT,307,1.6 HDI,2006,Timeout global de extracción agotado (10s),10.9803
AUTOMÓVILES,PEUGEOT,307,2.0,2001,Timeout global de extracción agotado (10s),12.9433
AUTOMÓVILES,PEUGEOT,307,2.0,2002,Timeout global de extracción agotado (10s),10.0388
AUTOMÓVILES,PEUGEOT,307,2.0 138CV,2005,Timeout global de extracción agotado (10s),13.3633
AUTOMÓVILES,PEUGEOT,307,2.0 143CV,2005,Timeout global de extracción agotado (10s),12.9569
