Segmento,Marca,Modelo,Versión,Año,Códigos
AUTOMÓVILES,ACURA,INTEGRA,1.6I SEDAN,1988,"GDB925, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,INTEGRA,1.6I SEDAN,1989,"GDB925, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1992,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1993,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1994,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1995,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1996,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1997,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,INTEGRA,1.8 V-TEC 16V,1998,"2561, RPDI00570, GDB925"
AUTOMÓVILES,ACURA,INTEGRA,1.8 V-TEC 16V,1999,"2561, RPDI00570, GDB925"
AUTOMÓVILES,ACURA,INTEGRA,1.8 V-TEC 16V,2000,"2561, RPDI00570, GDB925"
AUTOMÓVILES,ACURA,INTEGRA,1.8 V-TEC 16V,2001,"2561, RPDI00570, GDB925"
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1991,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1992,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1993,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1994,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1995,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1996,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460"
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1997,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.4 IE,1992,"316 036, 39, 3039, 3040, KG15044.0.1, 41100X17, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB172, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.4 IE,1993,"316 036, 39, 3039, 3040, KG15044.0.1, 41100X17, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB172, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.4 IE,1994,"316 036, 39, 3039, 3040, KG15044.0.1, 41100X17, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB172, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.5,1990,"39, 3039, 3040, KG15044.0.1, 41100X17, 41098X17, 10X850-4, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.5,1991,"39, 3039, 3040, KG15044.0.1, 41100X17, 41098X17, 10X850-4, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.5,1992,"39, 3039, 3040, KG15044.0.1, 41100X17, 41098X17, 10X850-4, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.5,1993,"39, 3039, 3040, KG15044.0.1, 41100X17, 41098X17, 10X850-4, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.5,1994,"39, 3039, 3040, KG15044.0.1, 41100X17, 41098X17, 10X850-4, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 16V,1993,"316 036, 39, 3039, 3040, KG15044.0.1, 58121X20, 279205, 05P020, 05P421, 05P301, 05P316, GDB1045, GDB1251, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 16V,1994,"316 036, 39, 3039, 3040, KG15044.0.1, 58121X20, 279205, 05P020, 05P421, 05P301, 05P316, GDB1045, GDB1251, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 16V,1995,"316 036, 39, 3039, 3040, KG15044.0.1, 58121X20, 279205, 05P020, 05P421, 05P301, 05P316, GDB1045, GDB1251, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 8V,1992,"316 036, 39, 3039, 3040, KG15044.0.1, 41100X17, 41098X17, 279205, 05P020, 05P421, 05P301, 05P316, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 8V,1993,"316 036, 39, 3039, 3040, KG15044.0.1, 41100X17, 41098X17, 279205, 05P020, 05P421, 05P301, 05P316, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 8V,1994,"316 036, 39, 3039, 3040, KG15044.0.1, 41100X17, 41098X17, 279205, 05P020, 05P421, 05P301, 05P316, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 8V,1995,"316 036, 39, 3039, 3040, KG15044.0.1, 41100X17, 41098X17, 279205, 05P020, 05P421, 05P301, 05P316, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 IE 16V,1992,"316 036, 39, 3039, 3040, KG15044.0.1, 58121X20, 13X950-4, 10X850-4, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P421, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 IE 16V,1993,"316 036, 39, 3039, 3040, KG15044.0.1, 58121X20, 13X950-4, 10X850-4, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P421, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 IE 16V,1994,"316 036, 39, 3039, 3040, KG15044.0.1, 58121X20, 13X950-4, 10X850-4, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P421, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 IE 16V,1995,"316 036, 39, 3039, 3040, KG15044.0.1, 58121X20, 13X950-4, 10X850-4, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P421, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,33,1.7 IE 16V,1996,"316 036, 39, 3039, 3040, KG15044.0.1, 58121X20, 13X950-4, 10X850-4, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P421, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460"
AUTOMÓVILES,ALFA ROMEO,145,1.4 16V,1996,"10142GOP, 60051GOP, 316 036, AX3610, JTSB0030, JTSB0035, BA332, 3017, 3149, 7737, 7743, 6771, 6PK1055-9, 6PK1840-4, 40163X24XS, 163X24XS, RCDI01040, HF 30, 358054191, 358054211, 858083191, 858083211, TS.3980, OC 66, LX 618, KL 83, KL 582, RCPT00860, RCPT00910, 05P646, GDB458, GDB466, 1111-539, RCLF00440, RCLF00460, 12803AP, T42060, T36001, T36208, T43033"
