Segmento,Marca,Modelo,Versión,Año,Códigos,processing_seconds
AUTOMÓVILES,ACURA,INTEGRA,1.6I SEDAN,1988,"GDB925, RCLF00440, RCLF00460",2.1579
AUTOMÓVILES,ACURA,INTEGRA,1.6I SEDAN,1989,"GDB925, RCLF00440, RCLF00460",2.2044
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1992,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460",2.4066
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1993,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460",2.4321
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1994,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460",2.2968
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1995,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460",2.4624
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1996,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460",2.3617
AUTOMÓVILES,ACURA,INTEGRA,1.8 SEDAN,1997,"2561, RPDI00570, HF 700, GDB925, RCLF00440, RCLF00460",2.4575
AUTOMÓVILES,ACURA,INTEGRA,1.8 V-TEC 16V,1998,"2561, RPDI00570, GDB925",0.8284
AUTOMÓVILES,ACURA,INTEGRA,1.8 V-TEC 16V,1999,"2561, RPDI00570, GDB925",1.0525
AUTOMÓVILES,ACURA,INTEGRA,1.8 V-TEC 16V,2000,"2561, RPDI00570, GDB925",1.0228
AUTOMÓVILES,ACURA,INTEGRA,1.8 V-TEC 16V,2001,"2561, RPDI00570, GDB925",1.1088
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1991,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460",2.6771
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1992,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460",2.5507
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1993,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460",2.7184
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1994,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460",2.5645
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1995,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460",2.7554
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1996,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460",2.5570
AUTOMÓVILES,ACURA,LEGEND,3.5 V6,1997,"76196X28XS, HF 710A, OC 196, 05P341, 05P1423, GDB3212, RCLF00440, RCLF00460",2.5662
AUTOMÓVILES,ALFA ROMEO,33,1.4 IE,1992,"316 036, 39, 3039, 3040, KG15044.0.1, 41100X17, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB172, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460",11.1833
AUTOMÓVILES,ALFA ROMEO,33,1.4 IE,1993,"316 036, 39, 3039, 3040, KG15044.0.1, 41100X17, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB172, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460",3.4706
AUTOMÓVILES,ALFA ROMEO,33,1.4 IE,1994,"316 036, 39, 3039, 3040, KG15044.0.1, 41100X17, 279205, HF 44, RCPT00860, RCPT00910, 05P020, 05P301, 05P316, GDB1045, GDB458, GDB1251, GDB172, GDB466, 6777, 618 2169 00, RCLF00440, RCLF00460",3.5696
