codigo,detail_url,page,arts_articulo,arts_articulo_emp,arts_nombre,arts_descripcion,aplicaciones_ocr,aplicaciones_ocr_count,atributos_ocr,atributos_ocr_count,referencias_ocr,referencias_ocr_count,oem_ocr,oem_ocr_count,processing_seconds
"TK367237,https://icepar.specparts.shop/products/detail?slug=tekbond_tk367237-625234,1,,,,,""[""""UNIVERSAL UNIVERSAL (0 AL 2026)""""]"",1,[],0,[],0,,,7.0633"
"TK367241,https://icepar.specparts.shop/products/detail?slug=tekbond_tk367241-625235,1,,,,,""[""""UNIVERSAL UNIVERSAL (0 AL 2026)""""]"",1,[],0,[],0,,,6.0526"
"TK367242,https://icepar.specparts.shop/products/detail?slug=tekbond_tk367242-625236,1,,,,,""[""""UNIVERSAL UNIVERSAL (0 AL 2026)""""]"",1,[],0,[],0,,,6.0424"
"TK368410,https://icepar.specparts.shop/products/detail?slug=tekbond_tk368410-625237,1,,,,,""[""""UNIVERSAL UNIVERSAL (0 AL 2026)""""]"",1,[],0,[],0,,,6.1423"
"TK368411,https://icepar.specparts.shop/products/detail?slug=tekbond_tk368411-625238,1,,,,,""[""""UNIVERSAL UNIVERSAL (0 AL 2026)""""]"",1,[],0,[],0,,,6.4165"
"TK700932,https://icepar.specparts.shop/products/detail?slug=tekbond_tk700932-625239,1,,,,,""[""""UNIVERSAL UNIVERSAL (0 AL 2026)""""]"",1,[],0,[],0,,,6.6279"
"TK700961,https://icepar.specparts.shop/products/detail?slug=tekbond_tk700961-625240,1,,,,,""[""""UNIVERSAL UNIVERSAL (0 AL 2026)""""]"",1,[],0,[],0,,,6.4247"
"TK700962,https://icepar.specparts.shop/products/detail?slug=tekbond_tk700962-625241,1,,,,,""[""""UNIVERSAL UNIVERSAL (0 AL 2026)""""]"",1,[],0,[],0,,,6.2440"
"TK708274,https://icepar.specparts.shop/products/detail?slug=tekbond_tk708274-625244,1,,,,,""[""""UNIVERSAL UNIVERSAL (0 AL 2026)""""]"",1,[],0,[],0,,,6.2126"
"TK708273,https://icepar.specparts.shop/products/detail?slug=tekbond_tk708273-625245,1,,,,,""[""""UNIVERSAL UNIVERSAL (0 AL 2026)""""]"",1,[],0,[],0,,,6.2736"
"TK708275,https://icepar.specparts.shop/products/detail?slug=tekbond_tk708275-625246,1,,,,,""[""""UNIVERSAL UNIVERSAL (0 AL 2026)""""]"",1,[],0,[],0,,,5.6979"
S671.090.312,https://icepar.specparts.shop/products/detail?slug=zf_s671090312-132446,1,,,,,[],0,[],0,[],0,,,2.6884
AP9145,https://icepar.specparts.shop/products/detail?slug=paulucci_ap9145-342104,1,,,,,[],0,[],0,[],0,,,2.6042
"AP9179,https://icepar.specparts.shop/products/detail?slug=paulucci_ap9179-342105,1,,,,,""[""""RENAULT MASTER 2.3 DCI (2013 AL 2026)"""", """"RENAULT MASTER 25 DCI (2006 AL 2013)"""", """"RENAULT MASTER 25D (1998 AL 2001)"""", """"RENAULT MASTER 28 TD (1999 AL 2008)"""", """"RENAULT MASTER 28D ASPIRADA (2003 AL 2006)""""]"",5,[],0,[],0,,,10.8580"
"2100 006 232,https://icepar.specparts.shop/products/detail?slug=sachs_2100006232-106865,1,,,,,[],0,[],0,""[""""SACHS: 5%:2100 006 232""""]"",1,,,6.9874"
"2100 011 031,https://icepar.specparts.shop/products/detail?slug=sachs_2100011031-106866,2,,,,,[],0,[],0,""[""""SACHS: 5%:2100011031""""]"",1,,,7.3807"
"2100 012 131,https://icepar.specparts.shop/products/detail?slug=sachs_2100012131-106867,2,,,,,[],0,[],0,""[""""SACHS: 5%:2100012 131""""]"",1,,,7.3092"
