codigo,detail_url,page,arts_articulo,arts_articulo_emp,arts_nombre,arts_descripcion,aplicaciones_ocr,aplicaciones_ocr_count,atributos_ocr,atributos_ocr_count,referencias_ocr,referencias_ocr_count,oem_ocr,oem_ocr_count,processing_seconds
37338GOP,https://icepar.specparts.shop/products/detail?slug=sadar_37338gop-1319338,97,,37338GOP,AMORT TRA FIAT DOBLO 01/...,AMORT TRA FIAT DOBLO 01/...,[],0,"[""POSICION: TRASERO"", ""LADO: AMBOS""]",2,[],0,,,9.3757
65019GOP,https://icepar.specparts.shop/products/detail?slug=sadar_65019gop-1319463,97,,65019GOP,AMORT DEL FIAT MAREA 96/,,[],0,"[""LADO: AMBOS"", ""POSICION: DELANTERO""]",2,[],0,,,8.9741
TK326915,https://icepar.specparts.shop/products/detail?slug=tekbond_tk326915-369110,97,,TK326915,ADHESIVO ANAEROBICO PIEZAS CILINDRICAS 138 - 10gr blister,"ADHESIVO ANAEROBICO PIEZAS CILINDRICAS 138 - 10gr blister Aplicación:  Es indicado para tuercas, tornillos y prisioneros en general que necesitan desarmados constantes. Características: Es un adhesivo anaerobio monocomponente, que después de aplicado ev X","[""UNIVERSAL UNIVERSAL (0 AL 2026)""]",1,[],0,[],0,,,6.9852
1268304424,https://icepar.specparts.shop/products/detail?slug=zf_1268304424-491874,98,,1268304424,1268304424 CONO SINCRONIZACIÓN,ZF,[],0,[],0,"[""DAF: 1227006"", ""MAN: 8132420.0163"", ""MERCEDES-BENZ: 000 262 2636"", ""MERCEDES-BENZ: A000 262 2636"", ""OEM: 3097024"", ""RENAULT: 50 01 832 907"", ""SCANIA: 1414928"", ""VOLVO: 3097024""]",8,,,15.6490
JARB0019,https://icepar.specparts.shop/products/detail?slug=trw_jarb0019-63804,99,,JARB0019,Axial/Precap Audi A3 1.6 8V 1/99-12/06,"Axial/Precap Audi A3 1.6 8V 1/99-12/06 Rosca Lado Caja M16x1,5 Rosca Lado Extremo M14x1,5 Largo 321mm","[""AUDI A3 16 (2000 AL 2008)"", ""AUDI A3 18 (1997 AL 2001)"", ""AUDI A3 LBT (180 CV) (2000 AL 2004)"", ""AUDI A3 18 T (1997 AL 2005)"", ""AUDI A3 19 TDI (1997 AL 2005)"", ""AUDI A3 2.0 FSI (2005 AL 2008)"", ""AUDI A3 2.0 TDI (2005 AL 2008)"", ""AUDI A3 2.0 TFSI (2006 AL 2008)"", ""AUDI A3 3.2 V6 FSI (2006 AL 2008)"", ""AUDI Q3 14 TFSI (2015 AL 2022)"", ""AUDI Q3 14 TFSI 35 STRONIC (2020 AL 2026)"", ""AUDI Q3 2.0 40 TFSI QUATTRO (2020 AL 2026)"", ""AUDI Q3 20 TDI (2013 AL 2015)"", ""AUDI Q3 20 TFSI (2012 AL 2018)"", ""AUDITT 2.0 TFSI (2017 AL 2022)"", ""AUDI TT 2.5 TFSI (2018 AL 2020)"", ""SEAT LEON 16 (2001 AL 2003)"", ""SEAT LEON 18 20V (2001 AL 2005)"", ""SEAT LEON 18 20V T (2003 AL 2005)"", ""SEAT LEON 19 TDI (2001 AL 2005)"", ""SEAT TOLEDO 1.6 (1997 AL 2002)"", ""SEAT TOLEDO 1.8 (1991 AL 1996)"", ""SEAT TOLEDO 1.8 20V (2000 AL 2005)"", ""SEAT TOLEDO 1.9 TDI (1994 AL 2005)"", ""SEAT TOLEDO 1.9D (1994 AL 2000)"", ""SEAT TOLEDO 2.0 (1994 AL 1999)"", ""SEAT TOLEDO 2.0 16V (1994 AL 1995)"", ""SEAT TOLEDO 2.3 V5 (2000 AL 2005)"", ""VOLKSWAGEN BORA 18T (2003 AL 2016)"", ""VOLKSWAGEN BORA 19 TDI (2000 AL 2016)"", ""VOLKSWAGEN BORA 2.0 (2000 AL 2016)"", ""VOLKSWAGEN GOLF 16 8V (1999 AL 2012)"", ""VOLKSWAGEN GOLF 18 (1983 AL 1989)"", ""VOLKSWAGEN GOLF L&T (1999 AL 2011)"", ""VOLKSWAGEN GOLF 19 TD (1996 AL 1999)"", ""VOLKSWAGEN GOLF 19 TDI (1999 AL 2011)"", ""VOLKSWAGEN GOLF 2.0 (1996 AL 1999)"", ""VOLKSWAGEN GOLF 2.0 8V (1999 AL 2012)"", ""VOLKSWAGEN GOLF 2.0 TSI (2011 AL 2014)"", ""VOLKSWAGEN GOLF 2.0TSI AT (2015 AL 2026)"", ""VOLKSWAGEN GOLF 2.8 V6 (2003 AL 2004)"", ""VOLKSWAGEN GOLF 2.8 VR6 (1996 AL 1999)"", ""VOLKSWAGEN NEW BEETLE L&T (2010 AL 2012)"", ""VOLKSWAGEN NEW BEETLE 19 TDI (2003 AL 2008)"", ""VOLKSWAGEN NEW BEETLE 2.0 8V (1999 AL 2010)"", ""VOLKSWAGEN NEW BEETLE 2.5 (2006 AL 2016)"", ""VOLKSWAGEN PASSAT 2.0 FSI (2006 AL 2010)"", ""VOLKSWAGEN THE BEETLE 20 TSI (2014 AL 2022)"", ""VOLKSWAGEN VENTO 14 TSI 250 DSG (2020 AL 2026)"", ""VOLKSWAGEN VENTO 14 TSI AT (2016 AL 2026)"", ""VOLKSWAGEN VENTO 14 TSI MT (2016 AL 2026)"", ""VOLKSWAGEN VENTO 139 TDI (2006 AL 2011)"", ""VOLKSWAGEN VENTO 20 8V (2011 AL 2012, 2015 AL 2021)"", ""VOLKSWAGEN VENTO 20 8V GLI (2016 AL 2022)"", ""VOLKSWAGEN VENTO 20 TDI (2006 AL 2011)"", ""VOLKSWAGEN VENTO 20 TDI 110CV (2011 AL 2017}"", ""VOLKSWAGEN VENTO 20 TDI 140CV (2011 AL 2015)"", ""VOLKSWAGEN VENTO 20 TSI (2011 AL 2018)"", ""VOLKSWAGEN VENTO 20 TSI DSG 230CV (2019 AL 2022)"", ""VOLKSWAGEN VENTO 20 TSI GLI (2019 AL 2021)"", ""VOLKSWAGEN VENTO 20 TSI GLI 350 DSG (2023 AL 2026)"", ""VOLKSWAGEN VENTO 25 (2011 AL 2022)"", ""VOLKSWAGEN VENTO 25 150CV (2006 AL 2009)"", ""VOLKSWAGEN VENTO 25 170CV (2009 AL 2011)""]",64,"[""POSICION: DELANTERO"", ""LADO: AMBOS"", ""TIPO DE ROSCA LADO CAJA: M16xIL5"", ""TIPO DE ROSCA LADO EXTREMO: M14x1.5""]",4,"[""AP PLUS: 12930AP"", ""CORVEN: 5RT3483"", ""FABILA: FB320"", ""NAKATA: N1063"", ""OE: LO 422 8076"", ""OE: 10422807"", ""OE 1: 1J0422807A"", ""Thompson: -"", ""TIPER: 41009"", ""TRW: JARBOO19:009"", ""VIEMAR: 680097""]",11,,,103.0077
JARB0154,https://icepar.specparts.shop/products/detail?slug=trw_jarb0154-63810,99,,JARB0154,Axial/Precap VW Amarok 1/10-...,"Axial/Precap VW Amarok 1/10-... Rosca Lado Caja M16x1,5 Rosca Lado Extremo M16x1,5 Largo 287mm","[""ALFA ROMEC 4C 18 (2016 AL 2021)"", ""AUDI Q7 3.0 45 TDI TIPTRONIC (2021 AL 2022)"", ""AUDI Q7 32.0 TFSI (2011 AL 2026)"", ""AUDI Q7 3.0 V6 55 TFSI (2019 AL 2026)"", ""AUDI Q7 2.0 V6 TDI (2006 AL 2014, 2016 AL 2022)"", ""AUDI Q7 4.2 TDI (2008 AL 2018)"", ""AUDI Q7 4.2 V& FSI (2006 AL 2011)"", ""PORSCHE CAYENNE 2.9 V6 BIT (2017 AL 2022)"", ""PORSCHE CAYENNE 3.0 TDI (2011 AL 2016)"", ""PORSCHE CAYENNE 3.0 V6 (2017 AL 2022)"", ""PORSCHE CAYENNE 3.6 V6 (2003 AL 2017)"", ""PORSCHE CAYENNE 4.0 V8 BIT (2017 AL 2026)"", ""PORSCHE CAYENNE 4.8 (2003 AL 2017)"", ""PORSCHE CAYENNE 4.8 HYBRID (2012 AL 2015)"", ""VOLKSWAGEN AMAROK 2.0 TDI 122Cv (2010 AL 2013)"", ""VOLKSWAGEN AMAROK 2.0 TDI 140CV (2012 AL 2017)"", ""VOLKSWAGEN AMAROK 2.0 TDI 140CV EUROS (2017 AL 2026)"", ""VOLKSWAGEN AMAROK 2.0 TDI BIT 163CV (2009 AL 2012}"", ""VOLKSWAGEN AMAROK 2.0 TDI BIT 180CV (2014 AL 2026)"", ""VOLKSWAGEN AMAROK 2.0 TDI BIT 180CV MT (2012 AL 2026)"", ""VOLKSWAGEN AMAROK 2.0 TDI BIT CD MT (2023 AL 2026)"", ""VOLKSWAGEN AMAROK 2.0 TDI BIT EUS 180CV AT (2018 AL 2026)"", ""VOLKSWAGEN AMAROK 2.0 TDI BIT EUS 180CV MT (2018 AL 2026)"", ""VOLKSWAGEN AMAROK 3.0 V6 TDI AT (2017 AL 2026)"", ""VOLKSWAGEN AMAROK 3.0 V6 TDI AT 4MOTION (2024 AL 2026)"", ""VOLKSWAGEN AMAROK 3.0L V6 258 CV TDI 4X4 AT (2020 AL 2026)"", ""VOLKSWAGEN AMAROK 3.0L V6 P'1 258CV 4X4 AT (2022 AL 2026)"", ""VOLKSWAGEN TOUAREG 2.5 R5 TDI (2003 AL 2010)"", ""VOLKSWAGEN TOUAREG 3.0 V6 TDI (2011 AL 2026)"", ""VOLKSWAGEN TOUAREG 3.2 V6 (2002 AL 2010)"", ""VOLKSWAGEN TOUAREG 3.6 V6 FSI (2011 AL 2016)"", ""VOLKSWAGEN TOUAREG 3.6 V6 FSI HIBRID (2013 AL 2016)"", ""VOLKSWAGEN TOUAREG 3.6 VR6 FSI (2008 AL 2011)"", ""VOLKSWAGEN TOUAREG 4.2 V& (2002 AL 2009)"", ""VOLKSWAGEN TOUAREG 4.2 V8 FSI (2008 AL 2021)"", ""VOLKSWAGEN TOUAREG 5.0 V10 TDI (2002 AL 2008)""]",36,"[""LADO: AMBOS"", ""TIPO DE ROSCA LADO EXTREMO: M16x1.5"", ""POSICION: DELANTERO"", ""TIPO DE ROSCA LADO CAJA: M16xIL5""]",4,"[""AP PLUS: 13685AP"", ""CORVEN: 5RT6051"", ""FABILA: FB428"", ""LENA: 860"", ""NAKATA: N10043"", ""OE: 7L0 422821"", ""SKF: VKY 6237 A"", ""THOMPSON: 85-6051"", ""TIPER: 41074"", ""TRW: JARBO154:009"", ""VIEMAR: 680337""]",11,,,73.1564
JARB0090,https://icepar.specparts.shop/products/detail?slug=trw_jarb0090-63812,99,,JARB0090,Axial/Precap Chevrolet Agile 1/09-...,"Axial/Precap Chevrolet Agile 1/09-... Rosca Lado Caja M16x1,5 Rosca Lado Extremo M14x1,5 Largo 275mm","[""CHEVROLET AGILE 1.4 &V (2009 AL 2021)"", ""CHEVROLET CORSA 14 &V (2010 AL 2021)"", ""FIAT UNG 14 8V EVO (2010 AL 2017)""]",3,"[""LADO: AMBOS"", ""POSICION: DELANTERO"", ""TIPO DE ROSCA LADO CAJA: M16xIL5"", ""TIPO DE ROSCA LADO EXTREMO: M14x1.5""]",4,"[""CORVEN: 5RT6167"", ""NAKATA: N93023"", ""OE: 94 737 106"", ""TRW: JARBOO90:009"", ""VIEMAR: 680365""]",5,,,27.1955
JARB0003,https://icepar.specparts.shop/products/detail?slug=trw_jarb0003-63816,99,,JARB0003,Axial/Precap Chevrolet Corsa/Classic 1/99-12/14,"Axial/Precap Chevrolet Corsa/Classic 1/99-12/14 Rosca Lado Caja M14x1,5 Rosca Lado Extremo M14x1,5 Largo 323mm","[""CHEVROLET CELTA 1.4 8V (2011 AL 2017)"", ""CHEVROLET CORSA 14 &V (2010 AL 2021)"", ""CHEVROLET CORSA 16 &V (1995 AL 2010)"", ""CHEVROLET CORSA 17 TDI (2002 AL 2009)"", ""CHEVROLET CORSA 18 &V (2002 AL 2012)"", ""CHEVROLET MONTANA 18 8¥ (2011 AL 2022)"", ""CHEVROLET PRISMA 14 &V (2011 AL 2013)"", ""CHEVROLET TIGRA 16 MPFI (1998 AL 2001)"", ""SUZUKI FUN LOBV (2003 AL 2007)"", ""SUZUKI FUN 14 8V (2004 AL 2012)""]",10,"[""LADO: AMBOS"", ""TIPO DE ROSCA LADO EXTREMO: M14x1.5"", ""POSICION: DELANTERO"", ""TIPO DE ROSCA LADO CAJA: M14xIL5""]",4,"[""CORVEN: 5RT3903"", ""NAKATA: N3073"", ""OE: 93 296 754"", ""TRW: JARBOOO3:009"", ""VIEMAR: 680067""]",5,,,35.2359
JARB0005,https://icepar.specparts.shop/products/detail?slug=trw_jarb0005-63817,99,,JARB0005,Axial/Precap Chevrolet Corsa/Classic 1/99-12/14,"Axial/Precap Chevrolet Corsa/Classic 1/99-12/14 Rosca Lado Caja M14x1,5 Rosca Lado Extremo M14x1,5 Largo 283mm","[""CHEVROLET CELTA 1.4 8V (2011 AL 2017)"", ""CHEVROLET CORSA 10 (2000 AL 2003)"", ""CHEVROLET CORSA 14 (1994 AL 1996)"", ""CHEVROLET CORSA 14 16¥ (1996 AL 2002)"", ""CHEVROLET CORSA 14 &V (2009 AL 2021)"", ""CHEVROLET CORSA 16 16V (1996 AL 2001)"", ""CHEVROLET CORSA 16 &V (1995 AL 2010)"", ""CHEVROLET CORSA 17D (1998 AL 2005)"", ""CHEVROLET PRISMA 14 &V (2011 AL 2013)"", ""CHEVROLET PRISMA 14 &V AT (2013 AL 2022)"", ""CHEVROLET PRISMA 14 &8V MT (2013 AL 2026)"", ""CHEVROLET TIGRA 16 MPFI (1998 AL 2001)"", ""FORD ECOSPORT 1.4 TDCI (2003 AL 2011)"", ""FORD ECOSPORT 1.6 8V ROCAM (2003 AL 2013)"", ""FORD ECOSPORT 2.0 16V (2003 AL 2013)"", ""SUZUKI FUN LOBV (2003 AL 2007)"", ""SUZUKI FUN 14 8V (2004 AL 2012)""]",17,"[""LADO: AMBOS"", ""LONGITUD TOTAL: 283 mm"", ""TIPO DE ROSCA LADO CAJA: M14xIL5"", ""POSICION: DELANTERO"", ""TIPO DE ROSCA LADO EXTREMO: M14x1.5""]",5,"[""NAKATA: N3076"", ""OE: 93 296 755"", ""TRW: JARBOOOOS:009"", ""VIEMAR: 680070""]",4,,,44.5608
JARB0014,https://icepar.specparts.shop/products/detail?slug=trw_jarb0014-63824,99,,JARB0014,Axial/Precap Chevrolet Corsa/Novo 1/02-12/12,"Axial/Precap Chevrolet Corsa/Novo 1/02-12/12 Rosca Lado Caja M18x1,5 Rosca Lado Extremo M14x1,5 Largo 275mm","[""CHEVROLET CORSA 14 &V (2010 AL 2021)"", ""CHEVROLET CORSA 17 TDI (2002 AL 2009)"", ""CHEVROLET CORSA 18 &V (2002 AL 2012)"", ""CHEVROLET MERIVA 17 TDI (2004 AL 2010)"", ""CHEVROLET MERIVA 18 16¥V (2003 AL 2006)"", ""CHEVROLET MERIVA 18 8V (2003 AL 2013)"", ""CHEVROLET MONTANA 18 8¥ (2011 AL 2022)""]",7,"[""LADO: AMBOS"", ""LONGITUD TOTAL: 275 mm"", ""POSICION: DELANTERO"", ""TIPO DE ROSCA LADO CAJA: M18x15"", ""TIPO DE ROSCA LADO EXTREMO: M14x1.5""]",5,"[""AP PLUS: 16984AP"", ""CORVEN: 5RT3955"", ""FABILA: FB363"", ""LENA: 966"", ""MONROE: MO-0358"", ""NAKATA: N3077"", ""OE: 93 388 624"", ""SKF: VKY 4934"", ""THOMPSON: 85-3955"", ""TIPER: 46109"", ""TRW: JARBOO14:009"", ""VIEMAR: 680177""]",12,,,41.4976
